Territory X Date,target
Afghanistan X 4/11/20,18
Afghanistan X 4/12/20,18
Afghanistan X 4/13/20,21
Afghanistan X 4/14/20,23
Afghanistan X 4/15/20,25
Afghanistan X 4/16/20,30
Afghanistan X 4/17/20,30
Albania X 4/11/20,23
Albania X 4/12/20,23
Albania X 4/13/20,23
Albania X 4/14/20,24
Albania X 4/15/20,25
Albania X 4/16/20,26
Albania X 4/17/20,26
Algeria X 4/11/20,275
Algeria X 4/12/20,293
Algeria X 4/13/20,313
Algeria X 4/14/20,326
Algeria X 4/15/20,336
Algeria X 4/16/20,348
Algeria X 4/17/20,364
Andorra X 4/11/20,26
Andorra X 4/12/20,29
Andorra X 4/13/20,29
Andorra X 4/14/20,31
Andorra X 4/15/20,33
Andorra X 4/16/20,33
Andorra X 4/17/20,35
Angola X 4/11/20,2
Angola X 4/12/20,2
Angola X 4/13/20,2
Angola X 4/14/20,2
Angola X 4/15/20,2
Angola X 4/16/20,2
Angola X 4/17/20,2
Antigua and Barbuda X 4/11/20,2
Antigua and Barbuda X 4/12/20,2
Antigua and Barbuda X 4/13/20,2
Antigua and Barbuda X 4/14/20,2
Antigua and Barbuda X 4/15/20,2
Antigua and Barbuda X 4/16/20,3
Antigua and Barbuda X 4/17/20,3
Argentina X 4/11/20,83
Argentina X 4/12/20,90
Argentina X 4/13/20,97
Argentina X 4/14/20,102
Argentina X 4/15/20,111
Argentina X 4/16/20,115
Argentina X 4/17/20,123
Armenia X 4/11/20,13
Armenia X 4/12/20,13
Armenia X 4/13/20,14
Armenia X 4/14/20,16
Armenia X 4/15/20,17
Armenia X 4/16/20,18
Armenia X 4/17/20,19
Aruba X 4/11/20,0
Aruba X 4/12/20,0
Aruba X 4/13/20,0
Aruba X 4/14/20,0
Aruba X 4/15/20,1
Aruba X 4/16/20,2
Aruba X 4/17/20,2
Australia X 4/11/20,57
Australia X 4/12/20,60
Australia X 4/13/20,61
Australia X 4/14/20,62
Australia X 4/15/20,63
Australia X 4/16/20,63
Australia X 4/17/20,66
Austria X 4/11/20,337
Austria X 4/12/20,350
Austria X 4/13/20,368
Austria X 4/14/20,384
Austria X 4/15/20,393
Austria X 4/16/20,410
Austria X 4/17/20,431
Azerbaijan X 4/11/20,11
Azerbaijan X 4/12/20,11
Azerbaijan X 4/13/20,12
Azerbaijan X 4/14/20,13
Azerbaijan X 4/15/20,13
Azerbaijan X 4/16/20,15
Azerbaijan X 4/17/20,15
Bahamas (the) X 4/11/20,8
Bahamas (the) X 4/12/20,8
Bahamas (the) X 4/13/20,8
Bahamas (the) X 4/14/20,8
Bahamas (the) X 4/15/20,8
Bahamas (the) X 4/16/20,8
Bahamas (the) X 4/17/20,9
Bahrain X 4/11/20,6
Bahrain X 4/12/20,6
Bahrain X 4/13/20,6
Bahrain X 4/14/20,7
Bahrain X 4/15/20,7
Bahrain X 4/16/20,7
Bahrain X 4/17/20,7
Bangladesh X 4/11/20,30
Bangladesh X 4/12/20,34
Bangladesh X 4/13/20,39
Bangladesh X 4/14/20,46
Bangladesh X 4/15/20,50
Bangladesh X 4/16/20,60
Bangladesh X 4/17/20,75
Barbados X 4/11/20,4
Barbados X 4/12/20,4
Barbados X 4/13/20,4
Barbados X 4/14/20,4
Barbados X 4/15/20,5
Barbados X 4/16/20,5
Barbados X 4/17/20,5
Belarus X 4/11/20,23
Belarus X 4/12/20,26
Belarus X 4/13/20,29
Belarus X 4/14/20,33
Belarus X 4/15/20,36
Belarus X 4/16/20,40
Belarus X 4/17/20,42
Belgium X 4/11/20,3346
Belgium X 4/12/20,3600
Belgium X 4/13/20,3903
Belgium X 4/14/20,4157
Belgium X 4/15/20,4440
Belgium X 4/16/20,4857
Belgium X 4/17/20,5163
Belize X 4/11/20,2
Belize X 4/12/20,2
Belize X 4/13/20,2
Belize X 4/14/20,2
Belize X 4/15/20,2
